ISO,Metric,Scenario,Period,Value_Low,Value_Median,Value_High
AND,tas_annual,ssp2-45,End of century 2080-2099,46.8120176533557,48.1079602414809,49.744060339403
ARE,tas_annual,ssp2-45,Historical 1986-2005,81.1641394274504,81.5913004183895,82.0493374703974
ARE,tas_annual,ssp2-45,Next decades 2020-2039,83.1512651658748,83.6613822990408,84.3936978778495
ARE,tas_annual,ssp2-45,Midcentury 2040-2059,84.0452392747127,84.8250722760926,85.8485687807361
ARE,tas_annual,ssp2-45,End of century 2080-2099,84.6890810831155,86.1130896399329,87.5387029829123
ARG,tas_annual,ssp2-45,Historical 1986-2005,61.0378115600301,61.4539508406334,61.6961307621926
ARG,tas_annual,ssp2-45,Next decades 2020-2039,62.2114815892386,62.7500442089887,63.1639986520382
ARG,tas_annual,ssp2-45,Midcentury 2040-2059,62.8201508678697,63.5106840045574,64.0747878771216
ARG,tas_annual,ssp2-45,End of century 2080-2099,63.6314965601876,64.4435065664406,65.3254982793066
ARM,tas_annual,ssp2-45,Historical 1986-2005,44.5502242037103,44.9240302700262,45.4800713988618
ARM,tas_annual,ssp2-45,Next decades 2020-2039,46.1837360008266,47.80448842103,48.8470360481272
ARM,tas_annual,ssp2-45,Midcentury 2040-2059,47.3343182845554,48.3525707151477,49.5257616529688
ARM,tas_annual,ssp2-45,End of century 2080-2099,48.4366803641764,50.2861226245392,51.8226524162795
ASM,tas_annual,ssp2-45,Historical 1986-2005,79.5747942366239,79.8811777488472,80.0837968458483
ASM,tas_annual,ssp2-45,Next decades 2020-2039,80.7018744456149,80.9381013390775,81.1197344482166
ASM,tas_annual,ssp2-45,Midcentury 2040-2059,81.1951580535513,81.4842485003402,81.9848472923023
ASM,tas_annual,ssp2-45,End of century 2080-2099,81.5556723436576,82.2157494456195,83.0206892234206
ATA,tas_annual,ssp2-45,Historical 1986-2005,-29.8810570207147,-29.294482421875,-28.7791550173744
ATA,tas_annual,ssp2-45,Next decades 2020-2039,-28.5308151241907,-27.7248089997665,-25.2101483965946
ATA,tas_annual,ssp2-45,Midcentury 2040-2059,-27.799906256686,-26.9537658691407,-23.7196991871845
ATA,tas_annual,ssp2-45,End of century 2080-2099,-27.10323800841,-25.6927262573242,-23.627404836299
ATC,tas_annual,ssp2-45,Historical 1986-2005,80.5133070345746,80.8183304454432,81.0138757678843
ATC,tas_annual,ssp2-45,Next decades 2020-2039,81.7740688923632,82.0665069581251,82.2923939532166
ATC,tas_annual,ssp2-45,Midcentury 2040-2059,82.2718355762058,82.6477507360403,83.1941889680059
ATC,tas_annual,ssp2-45,End of century 2080-2099,82.7778561945316,83.471560676025,84.4816830972536
ATF,tas_annual,ssp2-45,Historical 1986-2005,53.364109802246,53.5068908691405,53.6035812876051
ATF,tas_annual,ssp2-45,Next decades 2020-2039,54.217637634549,54.359535217285,54.9753475701755
ATF,tas_annual,ssp2-45,Midcentury 2040-2059,54.45833778471,54.8502067871093,55.7678516371888
